Kuupäev,11.06.26,12.06.26,13.06.26,14.06.26,15.06.26,16.06.26,17.06.26,18.06.26,19.06.26,20.06.26,21.06.26,22.06.26,23.06.26,24.06.26,25.06.26,26.06.26,27.06.26,28.06.26,29.06.26,30.06.26,01.07.26,02.07.26,03.07.26,04.07.26,05.07.26,06.07.26,07.07.26,09.07.26,10.07.26,11.07.26,12.07.26,14.07.26,15.07.26,18.07.26,19.07.26
Aimar,2,2,3,5,6,7,10,14,17,23,25,29,33,37,42,49,58,61,62,65,67,69,73,77,77,79,81,83,84,84,84,84,84,84,84
Janusz,2,4,5,8,10,12,15,18,20,24,26,31,35,38,43,47,52,56,58,62,66,69,73,76,76,77,80,81,81,82,82,82,82,82,82
Piotrek,1,3,4,6,7,7,10,11,13,15,17,19,22,25,30,35,43,47,49,52,55,57,61,65,65,66,67,68,69,72,72,72,72,72,74
Sebastian,1,3,4,7,8,10,14,16,17,21,25,30,32,34,38,42,47,50,52,57,58,60,63,65,67,68,71,72,73,74,74,74,74,74,74
Herbert,2,2,3,5,6,8,13,15,17,21,23,26,29,33,37,42,48,51,52,54,57,58,64,66,66,66,67,67,67,70,72,72,72,72,73
Joanna & Adam,2,2,3,5,6,7,11,12,16,20,22,26,27,31,36,39,45,48,49,50,51,54,58,60,60,62,63,64,65,65,65,65,67,68,73
Mihkel,2,3,4,6,7,8,13,15,18,23,26,30,32,34,38,41,49,53,54,60,62,64,64,66,66,67,68,69,71,71,71,71,71,71,73
Avo,1,1,2,3,3,6,10,13,16,19,21,25,29,32,36,38,43,47,49,53,58,60,62,65,67,68,70,71,71,71,71,71,71,72,72
Paweł,1,1,2,3,4,5,7,8,10,13,15,18,20,24,29,34,42,45,45,47,53,55,60,62,62,63,65,66,68,68,68,68,70,71,72
Timo,1,1,1,5,6,7,10,12,14,19,21,24,26,28,33,36,42,47,49,53,55,57,60,64,64,65,68,69,71,71,71,71,71,71,71
Ola & Kaur,0,2,3,5,6,7,11,13,17,21,23,26,28,31,36,39,45,48,48,51,54,56,61,64,64,65,68,68,69,69,69,69,69,69,70
Olle & Kätlin,1,1,2,4,5,7,11,13,15,19,21,24,26,29,34,38,42,45,45,49,53,56,57,60,60,61,63,63,65,65,67,67,69,70,70
Magda & Krzysiek,1,1,2,7,8,10,14,17,18,22,25,27,30,32,36,38,43,45,45,47,51,53,57,61,63,64,65,66,66,66,66,67,67,67,69
Jaś,1,1,2,3,3,5,9,12,14,18,20,23,25,28,32,35,40,44,44,47,49,52,54,57,57,58,60,61,62,64,64,64,64,65,66
Przemek,1,1,2,4,5,6,11,12,13,18,20,23,26,29,33,38,42,46,48,49,51,53,54,57,57,58,59,60,62,62,62,63,63,64,64
Hania,1,1,3,5,6,9,11,12,14,18,21,24,25,26,30,33,36,39,40,41,43,45,46,49,49,50,51,52,52,52,52,52,54,54,54
